timeGps (yyyy-D-'T'HH:mm:ss),type,message,filename
2025-96-T00:02:27,EM,2026/268-00:02:12.290 SCI state change: sciState16Dictionary(IDLE) ==&#62; sciState16Dictionary(ACQSETUP),f25_apr_05_23_57_35.event_messages
2025-96-T00:02:28,EM,2026/268-00:02:14.950 SCI state change: sciState16Dictionary(ACQSETUP) ==&#62; sciState16Dictionary(ACQ),f25_apr_05_23_57_35.event_messages
2025-97-T00:00:14,EM,2026/269-00:00:00.249 SCI state change: sciState16Dictionary(ACQ) ==&#62; sciState16Dictionary(CHILL),f25_apr_06_23_59_26.event_messages
2025-97-T00:00:16,EM,2026/269-00:00:01.709 SCI state change: sciState16Dictionary(CHILL) ==&#62; sciState16Dictionary(ACQCLEANUP),f25_apr_06_23_59_26.event_messages
2025-97-T00:00:18,EM,2026/269-00:00:03.709 SCI science activity completed: sciState16Dictionary(ACQ),f25_apr_06_23_59_26.event_messages
2025-97-T00:00:19,EM,2026/269-00:00:03.709 SCI state change: sciState16Dictionary(ACQCLEANUP) ==&#62; sciState16Dictionary(IDLE),f25_apr_06_23_59_26.event_messages
2025-97-T00:02:27,EM,2026/269-00:02:12.250 SCI state change: sciState16Dictionary(IDLE) ==&#62; sciState16Dictionary(ACQSETUP),f25_apr_06_23_59_26.event_messages
2025-97-T00:02:28,EM,2026/269-00:02:14.910 SCI state change: sciState16Dictionary(ACQSETUP) ==&#62; sciState16Dictionary(ACQ),f25_apr_06_23_59_26.event_messages
2025-97-T23:23:25,EM,2023/291-23:23:27.630 SCI state change: sciState16Dictionary(ACQ) ==&#62; sciState16Dictionary(CHILL),f25_apr_07_23_18_59.event_messages
2025-97-T23:23:27,EM,2023/291-23:23:29.290 SCI state change: sciState16Dictionary(CHILL) ==&#62; sciState16Dictionary(ACQCLEANUP),f25_apr_07_23_18_59.event_messages
2025-97-T23:23:31,EM,2023/291-23:23:31.290 SCI science activity completed: sciState16Dictionary(ACQ),f25_apr_07_23_18_59.event_messages
2025-97-T23:23:32,EM,2023/291-23:23:31.290 SCI state change: sciState16Dictionary(ACQCLEANUP) ==&#62; sciState16Dictionary(IDLE),f25_apr_07_23_18_59.event_messages
2025-99-T09:24:02,EM,2026/270-09:23:53.104 SCI state change: sciState16Dictionary(IDLE) ==&#62; sciState16Dictionary(ACQSETUP),f25_apr_09_09_23_05.event_messages
2025-99-T09:24:03,EM,2026/270-09:23:55.764 SCI state change: sciState16Dictionary(ACQSETUP) ==&#62; sciState16Dictionary(ACQ),f25_apr_09_09_23_05.event_messages
2025-100-T00:00:09,EM,2026/271-00:00:00.363 SCI state change: sciState16Dictionary(ACQ) ==&#62; sciState16Dictionary(CHILL),f25_apr_10_00_00_02.event_messages
2025-100-T00:00:11,EM,2026/271-00:00:01.823 SCI state change: sciState16Dictionary(CHILL) ==&#62; sciState16Dictionary(ACQCLEANUP),f25_apr_10_00_00_02.event_messages
2025-100-T00:00:13,EM,2026/271-00:00:03.823 SCI science activity completed: sciState16Dictionary(ACQ),f25_apr_10_00_00_02.event_messages
2025-100-T00:00:14,EM,2026/271-00:00:03.823 SCI state change: sciState16Dictionary(ACQCLEANUP) ==&#62; sciState16Dictionary(IDLE),f25_apr_10_00_00_02.event_messages
2025-100-T00:02:22,EM,2026/271-00:02:12.364 SCI state change: sciState16Dictionary(IDLE) ==&#62; sciState16Dictionary(ACQSETUP),f25_apr_10_00_00_02.event_messages
2025-100-T00:02:26,EM,2026/271-00:02:15.024 SCI state change: sciState16Dictionary(ACQSETUP) ==&#62; sciState16Dictionary(ACQ),f25_apr_10_00_00_02.event_messages
