DOY,Mass Bin 1*,Mass Bin 2*,Mass Bin 3*,Mass Bin 4*,Mass Bin 5*,Mass Bin 6*,Mass Bin 7*,Mass Bin 8*,Mass Bin 9*,Mass Bin 10*,Charge Bin 1*,Charge Bin 2*,Charge Bin 3*,Charge Bin 4*,Charge Bin 5*,Charge Bin 6*,Charge Bin 7*,Charge Bin 8*,Charge Bin 9*,Charge Bin 10*
96,0,0,0,0,1,0,1,1,2,0,0,1,2,2,0,0,0,0,0,0
97,0,0,1,1,3,2,6,2,7,5,1,6,13,7,0,0,0,0,0,0
98,1,0,0,0,2,2,1,6,4,5,0,4,8,8,0,0,0,0,0,0
99,0,0,0,1,0,3,4,3,6,0,0,4,11,2,0,0,0,0,0,0
100,0,0,0,1,0,0,2,2,2,2,1,0,4,4,0,0,0,0,0,0
101,0,2,0,1,3,2,4,6,13,10,2,6,15,17,1,0,0,0,0,0
102,0,1,1,1,1,1,6,6,7,4,3,2,18,5,0,0,0,0,0,0
103,0,0,1,0,0,0,5,2,3,5,1,0,9,6,0,0,0,0,0,0
104,0,1,2,8,7,6,4,2,2,0,5,19,7,1,0,0,0,0,0,0
105,1,4,0,3,4,2,0,0,2,2,6,7,2,2,0,0,0,0,0,0
106,0,0,0,0,0,0,0,3,0,4,0,0,3,2,0,2,0,0,0,0
107,0,0,1,0,0,1,1,3,4,14,1,1,6,15,1,0,0,0,0,0
108,0,0,0,0,0,0,1,0,1,2,0,0,2,2,0,0,0,0,0,0
109,3,3,0,2,4,3,0,0,0,0,4,8,0,0,0,0,0,0,0,0
110,3,4,11,8,14,7,2,0,0,0,21,23,2,0,0,0,0,0,0,0
