DOY,Mass Bin 1*,Mass Bin 2*,Mass Bin 3*,Mass Bin 4*,Mass Bin 5*,Mass Bin 6*,Mass Bin 7*,Mass Bin 8*,Mass Bin 9*,Mass Bin 10*,Charge Bin 1*,Charge Bin 2*,Charge Bin 3*,Charge Bin 4*,Charge Bin 5*,Charge Bin 6*,Charge Bin 7*,Charge Bin 8*,Charge Bin 9*,Charge Bin 10*,Percent On
96,0.0,0.0,0.0,0.0,1.1574074074074073e-05,0.0,1.1574074074074073e-05,1.1574074074074073e-05,2.3148148148148147e-05,0.0,0.0,1.1574074074074073e-05,2.3148148148148147e-05,2.3148148148148147e-05,0.0,0.0,0.0,0.0,0.0,0.0,100.0
97,0.0,0.0,1.1895245708195349e-05,1.1895245708195349e-05,3.568573712458605e-05,2.3790491416390698e-05,7.13714742491721e-05,2.3790491416390698e-05,8.326671995736744e-05,5.947622854097674e-05,1.1895245708195349e-05,7.13714742491721e-05,0.00015463819420653954,8.326671995736744e-05,0.0,0.0,0.0,0.0,0.0,0.0,97.3
98,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
99,0.0,0.0,0.0,1.902691776109498e-05,0.0,5.708075328328493e-05,7.610767104437992e-05,5.708075328328493e-05,0.00011416150656656987,0.0,0.0,7.610767104437992e-05,0.00020929609537204474,3.805383552218996e-05,0.0,0.0,0.0,0.0,0.0,0.0,60.83
100,0.0,0.0,0.0,1.1592622269705602e-05,0.0,0.0,2.3185244539411204e-05,2.3185244539411204e-05,2.3185244539411204e-05,2.3185244539411204e-05,1.1592622269705602e-05,0.0,4.637048907882241e-05,4.637048907882241e-05,0.0,0.0,0.0,0.0,0.0,0.0,99.84
101,0.0,2.5685916720093372e-05,0.0,1.2842958360046686e-05,3.852887508014006e-05,2.5685916720093372e-05,5.1371833440186745e-05,7.705775016028012e-05,0.0001669584586806069,0.00012842958360046686,2.5685916720093372e-05,7.705775016028012e-05,0.00019264437540070028,0.00021833029212079365,1.2842958360046686e-05,0.0,0.0,0.0,0.0,0.0,90.12
102,0.0,1.2679748109195962e-05,1.2679748109195962e-05,1.2679748109195962e-05,1.2679748109195962e-05,1.2679748109195962e-05,7.607848865517577e-05,7.607848865517577e-05,8.875823676437173e-05,5.071899243678385e-05,3.8039244327587885e-05,2.5359496218391924e-05,0.0002282354659655273,6.339874054597981e-05,0.0,0.0,0.0,0.0,0.0,0.0,91.28
103,0.0,0.0,1.3306592405235772e-05,0.0,0.0,0.0,6.653296202617886e-05,2.6613184810471543e-05,3.9919777215707315e-05,6.653296202617886e-05,1.3306592405235772e-05,0.0,0.00011975933164712195,7.983955443141463e-05,0.0,0.0,0.0,0.0,0.0,0.0,86.98
104,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048225308641975315,0.0,0.006430041152263376,0.0,0.0,0.0048225308641975315,0.003215020576131688,0.0,0.003215020576131688,0.0,0.0,0.0,0.0,0.72
107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
108,0.0,0.0,0.0,0.0,0.0,0.0,0.00350729517396184,0.0,0.00350729517396184,0.00701459034792368,0.0,0.0,0.00701459034792368,0.00701459034792368,0.0,0.0,0.0,0.0,0.0,0.0,0.33
109,0.004960317460317461,0.004960317460317461,0.0,0.003306878306878307,0.006613756613756614,0.004960317460317461,0.0,0.0,0.0,0.0,0.006613756613756614,0.013227513227513229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
